check_in_date,customer,hotel_name
2022-01-27,john@abc.com,"Shangri-La Singapore"
2022-01-30,john@abc.com,"Capella Singapore"
2022-02-01,john@abc.com,"W Singapore - Sentosa Cove"
2022-02-04,john@abc.com,"York Hotel Singapore"
2022-02-07,john@abc.com,"Studio M"
2022-02-09,john@abc.com,"Discovery Package"
2022-02-27,john@abc.com,"Shangri-La Singapore"
2022-03-01,john@abc.com,"W Singapore - Sentosa Cove"
2022-03-09,john@abc.com,"Discovery Package"
2022-01-25,peter@cde.com,"Shangri-La Singapore"
2022-01-28,peter@cde.com,"Capella Singapore"
2022-01-30,peter@cde.com,"W Singapore - Sentosa Cove"
2022-02-07,peter@cde.com,"York Hotel Singapore"
2022-02-10,peter@cde.com,"Studio M"
2022-02-14,peter@cde.com,"Discovery Package"
2022-02-25,peter@cde.com,"Shangri-La Singapore"
2022-02-28,peter@cde.com,"Capella Singapore"
2022-03-05,peter@cde.com,"York Hotel Singapore"
2022-03-10,peter@cde.com,"Studio M"
2022-03-14,peter@cde.com,"Discovery Package"
2022-01-17,mary@ghi.com,"Shangri-La Singapore"
2022-01-20,mary@ghi.com,"Capella Singapore"
2022-01-23,mary@ghi.com,"W Singapore - Sentosa Cove"
2022-01-30,mary@ghi.com,"York Hotel Singapore"
2022-02-06,mary@ghi.com,"Studio M"
2022-02-09,mary@ghi.com,"Discovery Package"
2022-02-27,mary@ghi.com,"Shangri-La Singapore"
2022-03-01,mary@ghi.com,"W Singapore - Sentosa Cove"
2022-03-04,mary@ghi.com,"York Hotel Singapore"
2022-03-07,mary@ghi.com,"Studio M"
2022-03-09,mary@ghi.com,"Discovery Package"
2022-01-13,maggie@jkl.com,"Shangri-La Singapore"
2022-01-17,maggie@jkl.com,"Capella Singapore"
2022-01-23,maggie@jkl.com,"W Singapore - Sentosa Cove"
2022-02-04,maggie@jkl.com,"York Hotel Singapore"
2022-02-06,maggie@jkl.com,"Studio M"
2022-02-08,maggie@jkl.com,"Discovery Package"
2022-02-20,maggie@jkl.com,"Capella Singapore"
2022-02-22,maggie@jkl.com,"W Singapore - Sentosa Cove"
2022-02-26,maggie@jkl.com,"York Hotel Singapore"
2022-02-28,maggie@jkl.com,"Studio M"
2022-03-09,maggie@jkl.com,"Discovery Package"
2022-01-7,steve@mno.com,"Shangri-La Singapore"
2022-01-10,steve@mno.com,"Capella Singapore"
2022-01-21,steve@mno.com,"W Singapore - Sentosa Cove"
2022-01-24,steve@mno.com,"York Hotel Singapore"
2022-01-27,steve@mno.com,"Studio M"
2022-02-09,steve@mno.com,"Discovery Package"
2022-02-07,steve@mno.com,"Shangri-La Singapore"
2022-02-10,steve@mno.com,"Capella Singapore"
2022-02-21,steve@mno.com,"W Singapore - Sentosa Cove"
2022-02-24,steve@mno.com,"York Hotel Singapore"
2022-02-27,steve@mno.com,"Studio M"
2022-03-02,steve@mno.com,"Discovery Package"
